date_id,calendar_date,year,quarter,month,fiscal_period
1,2024-01-01,2024,Q1,January,FY24-Q1
2,2024-01-02,2024,Q1,January,FY24-Q1
3,2024-01-03,2024,Q1,January,FY24-Q1
4,2024-01-04,2024,Q1,January,FY24-Q1
5,2024-01-05,2024,Q1,January,FY24-Q1
6,2024-01-06,2024,Q1,January,FY24-Q1
7,2024-01-07,2024,Q1,January,FY24-Q1
8,2024-01-08,2024,Q1,January,FY24-Q1
9,2024-01-09,2024,Q1,January,FY24-Q1
10,2024-01-10,2024,Q1,January,FY24-Q1
11,2024-01-11,2024,Q1,January,FY24-Q1
12,2024-01-12,2024,Q1,January,FY24-Q1
13,2024-01-13,2024,Q1,January,FY24-Q1
14,2024-01-14,2024,Q1,January,FY24-Q1
15,2024-01-15,2024,Q1,January,FY24-Q1
16,2024-01-16,2024,Q1,January,FY24-Q1
17,2024-01-17,2024,Q1,January,FY24-Q1
18,2024-01-18,2024,Q1,January,FY24-Q1
19,2024-01-19,2024,Q1,January,FY24-Q1
20,2024-01-20,2024,Q1,January,FY24-Q1
21,2024-01-21,2024,Q1,January,FY24-Q1
22,2024-01-22,2024,Q1,January,FY24-Q1
23,2024-01-23,2024,Q1,January,FY24-Q1
24,2024-01-24,2024,Q1,January,FY24-Q1
25,2024-01-25,2024,Q1,January,FY24-Q1
26,2024-01-26,2024,Q1,January,FY24-Q1
27,2024-01-27,2024,Q1,January,FY24-Q1
28,2024-01-28,2024,Q1,January,FY24-Q1
29,2024-01-29,2024,Q1,January,FY24-Q1
30,2024-01-30,2024,Q1,January,FY24-Q1
31,2024-01-31,2024,Q1,January,FY24-Q1
32,2024-02-01,2024,Q1,February,FY24-Q1
33,2024-02-02,2024,Q1,February,FY24-Q1
34,2024-02-03,2024,Q1,February,FY24-Q1
35,2024-02-04,2024,Q1,February,FY24-Q1
36,2024-02-05,2024,Q1,February,FY24-Q1
37,2024-02-06,2024,Q1,February,FY24-Q1
38,2024-02-07,2024,Q1,February,FY24-Q1
39,2024-02-08,2024,Q1,February,FY24-Q1
40,2024-02-09,2024,Q1,February,FY24-Q1
41,2024-02-10,2024,Q1,February,FY24-Q1
42,2024-02-11,2024,Q1,February,FY24-Q1
43,2024-02-12,2024,Q1,February,FY24-Q1
44,2024-02-13,2024,Q1,February,FY24-Q1
45,2024-02-14,2024,Q1,February,FY24-Q1
46,2024-02-15,2024,Q1,February,FY24-Q1
47,2024-02-16,2024,Q1,February,FY24-Q1
48,2024-02-17,2024,Q1,February,FY24-Q1
49,2024-02-18,2024,Q1,February,FY24-Q1
50,2024-02-19,2024,Q1,February,FY24-Q1
51,2024-02-20,2024,Q1,February,FY24-Q1
52,2024-02-21,2024,Q1,February,FY24-Q1
53,2024-02-22,2024,Q1,February,FY24-Q1
54,2024-02-23,2024,Q1,February,FY24-Q1
55,2024-02-24,2024,Q1,February,FY24-Q1
56,2024-02-25,2024,Q1,February,FY24-Q1
57,2024-02-26,2024,Q1,February,FY24-Q1
58,2024-02-27,2024,Q1,February,FY24-Q1
59,2024-02-28,2024,Q1,February,FY24-Q1
60,2024-02-29,2024,Q1,February,FY24-Q1
61,2024-03-01,2024,Q1,March,FY24-Q1
62,2024-03-02,2024,Q1,March,FY24-Q1
63,2024-03-03,2024,Q1,March,FY24-Q1
64,2024-03-04,2024,Q1,March,FY24-Q1
65,2024-03-05,2024,Q1,March,FY24-Q1
66,2024-03-06,2024,Q1,March,FY24-Q1
67,2024-03-07,2024,Q1,March,FY24-Q1
68,2024-03-08,2024,Q1,March,FY24-Q1
69,2024-03-09,2024,Q1,March,FY24-Q1
70,2024-03-10,2024,Q1,March,FY24-Q1
71,2024-03-11,2024,Q1,March,FY24-Q1
72,2024-03-12,2024,Q1,March,FY24-Q1
73,2024-03-13,2024,Q1,March,FY24-Q1
74,2024-03-14,2024,Q1,March,FY24-Q1
75,2024-03-15,2024,Q1,March,FY24-Q1
76,2024-03-16,2024,Q1,March,FY24-Q1
77,2024-03-17,2024,Q1,March,FY24-Q1
78,2024-03-18,2024,Q1,March,FY24-Q1
79,2024-03-19,2024,Q1,March,FY24-Q1
80,2024-03-20,2024,Q1,March,FY24-Q1
81,2024-03-21,2024,Q1,March,FY24-Q1
82,2024-03-22,2024,Q1,March,FY24-Q1
83,2024-03-23,2024,Q1,March,FY24-Q1
84,2024-03-24,2024,Q1,March,FY24-Q1
85,2024-03-25,2024,Q1,March,FY24-Q1
86,2024-03-26,2024,Q1,March,FY24-Q1
87,2024-03-27,2024,Q1,March,FY24-Q1
88,2024-03-28,2024,Q1,March,FY24-Q1
89,2024-03-29,2024,Q1,March,FY24-Q1
90,2024-03-30,2024,Q1,March,FY24-Q1
91,2024-03-31,2024,Q1,March,FY24-Q1
92,2024-04-01,2024,Q2,April,FY24-Q2
93,2024-04-02,2024,Q2,April,FY24-Q2
94,2024-04-03,2024,Q2,April,FY24-Q2
95,2024-04-04,2024,Q2,April,FY24-Q2
96,2024-04-05,2024,Q2,April,FY24-Q2
97,2024-04-06,2024,Q2,April,FY24-Q2
98,2024-04-07,2024,Q2,April,FY24-Q2
99,2024-04-08,2024,Q2,April,FY24-Q2
100,2024-04-09,2024,Q2,April,FY24-Q2
101,2024-04-10,2024,Q2,April,FY24-Q2
102,2024-04-11,2024,Q2,April,FY24-Q2
103,2024-04-12,2024,Q2,April,FY24-Q2
104,2024-04-13,2024,Q2,April,FY24-Q2
105,2024-04-14,2024,Q2,April,FY24-Q2
106,2024-04-15,2024,Q2,April,FY24-Q2
107,2024-04-16,2024,Q2,April,FY24-Q2
108,2024-04-17,2024,Q2,April,FY24-Q2
109,2024-04-18,2024,Q2,April,FY24-Q2
110,2024-04-19,2024,Q2,April,FY24-Q2
111,2024-04-20,2024,Q2,April,FY24-Q2
112,2024-04-21,2024,Q2,April,FY24-Q2
113,2024-04-22,2024,Q2,April,FY24-Q2
114,2024-04-23,2024,Q2,April,FY24-Q2
115,2024-04-24,2024,Q2,April,FY24-Q2
116,2024-04-25,2024,Q2,April,FY24-Q2
117,2024-04-26,2024,Q2,April,FY24-Q2
118,2024-04-27,2024,Q2,April,FY24-Q2
119,2024-04-28,2024,Q2,April,FY24-Q2
120,2024-04-29,2024,Q2,April,FY24-Q2
121,2024-04-30,2024,Q2,April,FY24-Q2
122,2024-05-01,2024,Q2,May,FY24-Q2
123,2024-05-02,2024,Q2,May,FY24-Q2
124,2024-05-03,2024,Q2,May,FY24-Q2
125,2024-05-04,2024,Q2,May,FY24-Q2
126,2024-05-05,2024,Q2,May,FY24-Q2
127,2024-05-06,2024,Q2,May,FY24-Q2
128,2024-05-07,2024,Q2,May,FY24-Q2
129,2024-05-08,2024,Q2,May,FY24-Q2
130,2024-05-09,2024,Q2,May,FY24-Q2
131,2024-05-10,2024,Q2,May,FY24-Q2
132,2024-05-11,2024,Q2,May,FY24-Q2
133,2024-05-12,2024,Q2,May,FY24-Q2
134,2024-05-13,2024,Q2,May,FY24-Q2
135,2024-05-14,2024,Q2,May,FY24-Q2
136,2024-05-15,2024,Q2,May,FY24-Q2
137,2024-05-16,2024,Q2,May,FY24-Q2
138,2024-05-17,2024,Q2,May,FY24-Q2
139,2024-05-18,2024,Q2,May,FY24-Q2
140,2024-05-19,2024,Q2,May,FY24-Q2
141,2024-05-20,2024,Q2,May,FY24-Q2
142,2024-05-21,2024,Q2,May,FY24-Q2
143,2024-05-22,2024,Q2,May,FY24-Q2
144,2024-05-23,2024,Q2,May,FY24-Q2
